Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,12.148,0.863,1.791759,-2.456736,14.884,0.1,4.304065,-0.623189,23.8,0.348,3.044522,-1.398129,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.646,1.192,1.609438,-2.639057,14.451,0.101,4.290459,-0.636794,23.696,0.38,2.995732,-1.446919,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.575,2.583,1.386294,-2.862201,13.178,0.107,4.276666,-0.650588,23.582,0.449,2.944439,-1.498212,0,0,0,0,0,0,0,0,,,
0,0,0,0,12.249,2.742,1.098612,-3.149883,17.515,0.109,4.26268,-0.664574,21.446,0.473,2.890372,-1.552279,0,0,0,0,0,0,0,0,,,
0,0,0,0,11.921,4.8,0.693147,-3.555348,15.934,0.113,4.248495,-0.678758,23.413,0.501,2.833213,-1.609438,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.619,6.013,0,-4.248495,14.066,0.114,4.234107,-0.693147,23.414,0.526,2.772589,-1.670063,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.973,0.117,4.219508,-0.707746,19.811,0.568,2.70805,-1.734601,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,18.045,0.118,4.204693,-0.722561,19.985,0.624,2.639057,-1.803594,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.044,0.127,4.189655,-0.737599,18.975,0.632,2.564949,-1.877702,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,15.851,0.127,4.174387,-0.752866,20.59,0.653,2.484907,-1.957745,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.288,0.127,4.158883,-0.768371,19.521,0.701,2.397895,-2.044756,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,17.629,0.127,4.143135,-0.784119,19.071,0.753,2.302585,-2.140066,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.408,0.128,4.127134,-0.800119,20.668,0.757,2.197225,-2.245427,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,13.555,0.129,4.110874,-0.81638,23.202,1.167,2.079442,-2.36321,0,0,0,0,0,0,0,0,,,
