Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
4.564,0.592,2.639057,-1.421386,8.984,1.942,2.079442,-1.871802,11.546,0.302,3.332205,-0.944462,13.59,0.098,3.871201,-0.650588,17.472,0.042,4.430817,-0.421213,0,0,0,0,,,
5.404,0.752,2.564949,-1.495494,7.734,1.988,1.94591,-2.005334,13.043,0.304,3.295837,-0.980829,14.386,0.099,3.850148,-0.671641,20.516,0.042,4.418841,-0.43319,0,0,0,0,,,
3.49,0.926,2.484907,-1.575536,9.566,2.595,1.791759,-2.159484,11.79,0.309,3.258097,-1.01857,14.783,0.104,3.828641,-0.693147,19.497,0.047,4.406719,-0.445311,0,0,0,0,,,
7.234,0.937,2.397895,-1.662548,9.59,2.765,1.609438,-2.341806,10.662,0.342,3.218876,-1.05779,14.739,0.116,3.806662,-0.715126,19.767,0.047,4.394449,-0.457581,0,0,0,0,,,
2.697,0.954,2.302585,-1.757858,8.52,3.997,1.386294,-2.564949,11.164,0.346,3.178054,-1.098612,16.016,0.123,3.78419,-0.737599,21.163,0.047,4.382027,-0.470004,0,0,0,0,,,
6.161,1.115,2.197225,-1.863218,9.137,5.044,1.098612,-2.852631,12.277,0.354,3.135494,-1.141172,14.694,0.141,3.7612,-0.760588,17.97,0.048,4.369448,-0.482582,0,0,0,0,,,
6.433,1.474,2.079442,-1.981001,9.387,8.84,0.693147,-3.258097,11.575,0.362,3.091042,-1.185624,13.263,0.147,3.73767,-0.784119,20.056,0.048,4.356709,-0.495321,0,0,0,0,,,
4.318,2.2,1.94591,-2.114533,9.007,14.166,0,-3.951244,12.658,0.376,3.044522,-1.232144,13.417,0.163,3.713572,-0.808217,19.899,0.049,4.343805,-0.508225,0,0,0,0,,,
2.088,2.321,1.791759,-2.268684,0,0,0,0,12.563,0.398,2.995732,-1.280934,14.075,0.171,3.688879,-0.832909,21.121,0.049,4.330733,-0.521297,0,0,0,0,,,
6.278,2.396,1.609438,-2.451005,0,0,0,0,11.061,0.413,2.944439,-1.332227,14.926,0.173,3.663562,-0.858227,20.629,0.05,4.317488,-0.534542,0,0,0,0,,,
4.306,2.576,1.386294,-2.674149,0,0,0,0,12.011,0.459,2.890372,-1.386294,15.216,0.176,3.637586,-0.884202,20.219,0.051,4.304065,-0.547965,0,0,0,0,,,
7.094,4.547,1.098612,-2.961831,0,0,0,0,10.299,0.507,2.833213,-1.443453,14.414,0.177,3.610918,-0.910871,17.757,0.054,4.290459,-0.561571,0,0,0,0,,,
6.343,9.411,0.693147,-3.367296,0,0,0,0,11.874,0.562,2.772589,-1.504077,15.712,0.181,3.583519,-0.93827,16.662,0.056,4.276666,-0.575364,0,0,0,0,,,
6.888,12.11,0,-4.060443,0,0,0,0,13.072,0.592,2.70805,-1.568616,14.167,0.188,3.555348,-0.966441,18.283,0.062,4.26268,-0.58935,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.295,0.601,2.639057,-1.637609,14.973,0.188,3.526361,-0.995428,19.563,0.062,4.248495,-0.603535,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.736,0.664,2.564949,-1.711717,14.172,0.19,3.496508,-1.025281,19.78,0.062,4.234107,-0.617924,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.97,0.731,2.484907,-1.791759,14.544,0.193,3.465736,-1.056053,17.118,0.063,4.219508,-0.632523,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.97,0.731,2.397895,-1.878771,16.083,0.193,3.433987,-1.087801,18.782,0.063,4.204693,-0.647338,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.017,0.736,2.302585,-1.974081,15.077,0.203,3.401197,-1.120591,17.132,0.067,4.189655,-0.662376,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.968,0.846,2.197225,-2.079442,14.461,0.21,3.367296,-1.154493,17.814,0.071,4.174387,-0.677643,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.063,0.861,2.079442,-2.197225,13.409,0.23,3.332205,-1.189584,16.855,0.076,4.158883,-0.693147,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.312,1.075,1.94591,-2.330756,13.532,0.236,3.295837,-1.225952,19.535,0.076,4.143135,-0.708896,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.196,1.991,1.791759,-2.484907,16.371,0.236,3.258097,-1.263692,16.569,0.083,4.127134,-0.724896,0,0,0,0,,,
0,0,0,0,0,0,0,0,10.432,2.061,1.609438,-2.667228,16.119,0.313,3.218876,-1.302913,20.565,0.084,4.110874,-0.741156,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.79,3.21,1.386294,-2.890372,14.392,0.317,3.178054,-1.343735,16.524,0.104,4.094345,-0.757686,0,0,0,0,,,
0,0,0,0,0,0,0,0,11.115,12.717,1.098612,-3.178054,15.463,0.323,3.135494,-1.386294,18.781,0.106,4.077537,-0.774493,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.605,34.374,0.693147,-3.583519,14.29,0.351,3.091042,-1.430746,20.208,0.111,4.060443,-0.791587,0,0,0,0,,,
0,0,0,0,0,0,0,0,12.759,58.138,0,-4.276666,13.541,0.363,3.044522,-1.477266,19.127,0.113,4.043051,-0.808979,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.772,0.401,2.995732,-1.526056,19.425,0.113,4.025352,-0.826679,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.538,0.451,2.944439,-1.57735,19.403,0.121,4.007333,-0.844697,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.947,0.472,2.890372,-1.631417,18.586,0.122,3.988984,-0.863046,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,13.403,0.593,2.833213,-1.688575,19.095,0.122,3.970292,-0.881738,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,16.376,0.658,2.772589,-1.7492,20.527,0.129,3.951244,-0.900787,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.319,0.734,2.70805,-1.813738,18.071,0.132,3.931826,-0.920205,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,16.255,0.814,2.639057,-1.882731,19.886,0.135,3.912023,-0.940007,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,13.124,1.238,2.564949,-1.956839,18.049,0.136,3.89182,-0.96021,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.686,1.55,2.484907,-2.036882,17.525,0.141,3.871201,-0.980829,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.806,1.648,2.397895,-2.123893,19.401,0.141,3.850148,-1.001883,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.685,1.7,2.302585,-2.219203,17.251,0.152,3.828641,-1.023389,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,13.742,2.105,2.197225,-2.324564,18.139,0.17,3.806662,-1.045368,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.738,2.73,2.079442,-2.442347,19.769,0.17,3.78419,-1.067841,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.696,3.66,1.94591,-2.575878,17.167,0.171,3.7612,-1.09083,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.507,5.585,1.791759,-2.730029,17.941,0.175,3.73767,-1.114361,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.602,6.057,1.609438,-2.912351,20.426,0.186,3.713572,-1.138458,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.03,6.42,1.386294,-3.135494,17.257,0.192,3.688879,-1.163151,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,14.007,7.224,1.098612,-3.423176,16.44,0.202,3.663562,-1.188469,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,13.541,34.29,0.693147,-3.828641,16.814,0.203,3.637586,-1.214444,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,15.933,43.36,0,-4.521789,17.465,0.244,3.610918,-1.241112,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0.244,3.583519,-1.268511,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.606,0.255,3.555348,-1.296682,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.928,0.26,3.526361,-1.32567,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.756,0.269,3.496508,-1.355523,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.416,0.277,3.465736,-1.386294,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.994,0.283,3.433987,-1.418043,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.683,0.322,3.401197,-1.450833,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.495,0.404,3.367296,-1.484734,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.808,0.404,3.332205,-1.519826,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.861,0.442,3.295837,-1.556193,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.188,0.464,3.258097,-1.593934,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.497,0.5,3.218876,-1.633154,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.989,0.506,3.178054,-1.673976,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.818,0.548,3.135494,-1.716536,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.226,0.563,3.091042,-1.760988,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85,0.57,3.044522,-1.807508,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.354,0.609,2.995732,-1.856298,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0.63,2.944439,-1.907591,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.743,0.631,2.890372,-1.961659,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.797,0.658,2.833213,-2.018817,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.123,0.697,2.772589,-2.079442,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.817,0.699,2.70805,-2.14398,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.308,0.712,2.639057,-2.212973,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.732,0.754,2.564949,-2.287081,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.357,1.678,2.484907,-2.367124,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.592,1.814,2.397895,-2.454135,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.685,1.984,2.302585,-2.549445,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.538,3.015,2.197225,-2.654806,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.676,3.903,2.079442,-2.772589,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.193,4.793,1.94591,-2.90612,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16,5.069,1.791759,-3.060271,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49,6.242,1.609438,-3.242592,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.524,7.653,1.386294,-3.465736,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.278,18.464,1.098612,-3.753418,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.273,25.714,0.693147,-4.158883,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.104,37.078,0,-4.85203,0,0,0,0,,,
