Force,Lifetime,p,Lnp,Force_1,Lifetime_1,p_1,Lnp_1,Force_2,Lifetime_2,p_2,Lnp_2,Force_3,Lifetime_3,p_3,Lnp_3,Force_4,Lifetime_4,p_4,Lnp_4,Force_5,Lifetime_5,p_5,Lnp_5
0,0,0,0,0,0,0,0,11.83,0.208,3.135494,-1.038893,18.452,0.218,3.258097,-0.961411,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.409,0.22,3.091042,-1.083345,14.677,0.219,3.218876,-1.000632,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.317,0.243,3.044522,-1.129865,17.203,0.228,3.178054,-1.041454,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.197,0.256,2.995732,-1.178655,15.263,0.238,3.135494,-1.084013,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.811,0.319,2.944439,-1.229948,15.399,0.267,3.091042,-1.128465,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.584,0.371,2.890372,-1.284016,15.344,0.277,3.044522,-1.174985,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.119,0.39,2.833213,-1.341174,18.067,0.311,2.995732,-1.223775,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.989,0.39,2.772589,-1.401799,16.742,0.313,2.944439,-1.275069,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.968,0.395,2.70805,-1.466337,18.09,0.331,2.890372,-1.329136,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.822,0.412,2.639057,-1.53533,18.748,0.444,2.833213,-1.386294,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.712,0.472,2.564949,-1.609438,14.456,0.446,2.772589,-1.446919,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.361,0.532,2.484907,-1.689481,16.348,0.548,2.70805,-1.511458,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.577,0.573,2.397895,-1.776492,16.077,0.569,2.639057,-1.58045,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.248,0.678,2.302585,-1.871802,17.237,0.61,2.564949,-1.654558,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.797,0.887,2.197225,-1.977163,15.85,0.632,2.484907,-1.734601,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.145,0.921,2.079442,-2.094946,18.75,0.645,2.397895,-1.821612,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.07,1.068,1.94591,-2.228477,15.089,0.655,2.302585,-1.916923,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.874,1.313,1.791759,-2.382628,14.736,0.682,2.197225,-2.022283,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.457,1.535,1.609438,-2.564949,17.9,0.749,2.079442,-2.140066,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.214,1.585,1.386294,-2.788093,14.323,0.892,1.94591,-2.273598,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.43,2.041,1.098612,-3.075775,16.501,1.066,1.791759,-2.427748,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.549,2.621,0.693147,-3.48124,17.266,1.242,1.609438,-2.61007,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.079,13.137,0,-4.174387,14.802,1.314,1.386294,-2.833213,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16.864,1.4,1.098612,-3.120895,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17.795,1.954,0.693147,-3.526361,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17.911,4.422,0,-4.219508,0,0,0,0,0,0,0,0
