Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
6.366,0.149,1.791759,-2.140066,7.573,0.016,4.736198,-0.332706,13.067,0.027,4.882802,-0.293348,21.132,0.02,4.663439,-0.353841,21.624,0.147,1.94591,-2.005334,0,0,0,0
2.823,0.193,1.609438,-2.322388,7.58,0.016,4.727388,-0.341516,14.361,0.029,4.875197,-0.300952,18.69,0.021,4.65396,-0.363319,23.255,0.15,1.791759,-2.159484,0,0,0,0
2.09,0.212,1.386294,-2.545531,8.069,0.016,4.718499,-0.350405,11.97,0.03,4.867534,-0.308615,16.37,0.022,4.644391,-0.372889,26.626,0.159,1.609438,-2.341806,0,0,0,0
6.135,0.234,1.098612,-2.833213,8.283,0.016,4.70953,-0.359374,12.611,0.03,4.859812,-0.316337,16.577,0.022,4.634729,-0.382551,21.404,0.189,1.386294,-2.564949,0,0,0,0
3.706,0.279,0.693147,-3.238678,8.919,0.016,4.70048,-0.368424,12.684,0.03,4.85203,-0.324119,20.197,0.022,4.624973,-0.392307,23.343,0.229,1.098612,-2.852631,0,0,0,0
5.989,0.841,0,-3.931826,9.647,0.016,4.691348,-0.377556,14.51,0.03,4.844187,-0.331963,20.723,0.022,4.615121,-0.402159,22.029,0.386,0.693147,-3.258097,0,0,0,0
0,0,0,0,11.304,0.016,4.682131,-0.386773,12.737,0.031,4.836282,-0.339868,16.404,0.023,4.60517,-0.41211,22.546,0.699,0,-3.951244,0,0,0,0
0,0,0,0,9.702,0.017,4.672829,-0.396075,13.584,0.031,4.828314,-0.347836,16.746,0.023,4.59512,-0.42216,0,0,0,0,0,0,0,0
0,0,0,0,9.78,0.017,4.663439,-0.405465,13.759,0.032,4.820282,-0.355868,19.127,0.023,4.584967,-0.432312,0,0,0,0,0,0,0,0
0,0,0,0,11.084,0.017,4.65396,-0.414944,14.482,0.032,4.812184,-0.363965,21.139,0.023,4.574711,-0.442569,0,0,0,0,0,0,0,0
0,0,0,0,8.77,0.018,4.644391,-0.424513,12.134,0.033,4.804021,-0.372129,16.682,0.024,4.564348,-0.452932,0,0,0,0,0,0,0,0
0,0,0,0,11.684,0.018,4.634729,-0.434175,12.804,0.033,4.795791,-0.380359,17.012,0.024,4.553877,-0.463403,0,0,0,0,0,0,0,0
0,0,0,0,8.793,0.019,4.624973,-0.443931,13.056,0.033,4.787492,-0.388658,20.126,0.024,4.543295,-0.473985,0,0,0,0,0,0,0,0
0,0,0,0,11.104,0.019,4.615121,-0.453784,13.064,0.033,4.779123,-0.397026,20.253,0.024,4.532599,-0.48468,0,0,0,0,0,0,0,0
0,0,0,0,7.553,0.02,4.60517,-0.463734,13.293,0.033,4.770685,-0.405465,19.609,0.025,4.521789,-0.495491,0,0,0,0,0,0,0,0
0,0,0,0,9.571,0.02,4.59512,-0.473784,14.78,0.033,4.762174,-0.413976,20.266,0.026,4.51086,-0.50642,0,0,0,0,0,0,0,0
0,0,0,0,10.092,0.02,4.584967,-0.483937,14.104,0.034,4.75359,-0.42256,18.349,0.027,4.49981,-0.51747,0,0,0,0,0,0,0,0
0,0,0,0,10.143,0.021,4.574711,-0.494193,14.745,0.034,4.744932,-0.431218,19.094,0.027,4.488636,-0.528643,0,0,0,0,0,0,0,0
0,0,0,0,10.321,0.021,4.564348,-0.504556,12.09,0.035,4.736198,-0.439951,19.151,0.027,4.477337,-0.539943,0,0,0,0,0,0,0,0
0,0,0,0,10.719,0.021,4.553877,-0.515027,13.371,0.035,4.727388,-0.448762,19.821,0.027,4.465908,-0.551372,0,0,0,0,0,0,0,0
0,0,0,0,9.256,0.022,4.543295,-0.525609,13.652,0.036,4.718499,-0.457651,19.906,0.027,4.454347,-0.562933,0,0,0,0,0,0,0,0
0,0,0,0,10.161,0.022,4.532599,-0.536305,14.459,0.036,4.70953,-0.46662,20.092,0.027,4.442651,-0.574629,0,0,0,0,0,0,0,0
0,0,0,0,8.424,0.023,4.521789,-0.547116,13.242,0.038,4.70048,-0.475669,20.22,0.027,4.430817,-0.586463,0,0,0,0,0,0,0,0
0,0,0,0,10.606,0.023,4.51086,-0.558045,14.181,0.038,4.691348,-0.484802,16.475,0.028,4.418841,-0.598439,0,0,0,0,0,0,0,0
0,0,0,0,8.2,0.024,4.49981,-0.569095,13.55,0.039,4.682131,-0.494019,17.068,0.028,4.406719,-0.610561,0,0,0,0,0,0,0,0
0,0,0,0,7.188,0.025,4.488636,-0.580268,14.183,0.039,4.672829,-0.503321,17.857,0.028,4.394449,-0.622831,0,0,0,0,0,0,0,0
0,0,0,0,9.704,0.025,4.477337,-0.591567,15.595,0.039,4.663439,-0.512711,17.894,0.031,4.382027,-0.635253,0,0,0,0,0,0,0,0
0,0,0,0,9.961,0.025,4.465908,-0.602996,13.906,0.04,4.65396,-0.522189,18.119,0.032,4.369448,-0.647832,0,0,0,0,0,0,0,0
0,0,0,0,10.05,0.025,4.454347,-0.614557,13.714,0.041,4.644391,-0.531759,20.772,0.032,4.356709,-0.660571,0,0,0,0,0,0,0,0
0,0,0,0,10.86,0.025,4.442651,-0.626253,13.808,0.041,4.634729,-0.541421,16.543,0.034,4.343805,-0.673474,0,0,0,0,0,0,0,0
0,0,0,0,9.016,0.026,4.430817,-0.638087,13.663,0.043,4.624973,-0.551177,20.817,0.034,4.330733,-0.686546,0,0,0,0,0,0,0,0
0,0,0,0,7.07,0.027,4.418841,-0.650064,14.117,0.043,4.615121,-0.561029,16.217,0.035,4.317488,-0.699792,0,0,0,0,0,0,0,0
0,0,0,0,8.643,0.029,4.406719,-0.662185,11.894,0.046,4.60517,-0.57098,16.144,0.036,4.304065,-0.713215,0,0,0,0,0,0,0,0
0,0,0,0,8.839,0.029,4.394449,-0.674455,12.7,0.046,4.59512,-0.58103,18.297,0.037,4.290459,-0.72682,0,0,0,0,0,0,0,0
0,0,0,0,9.349,0.03,4.382027,-0.686878,12.925,0.046,4.584967,-0.591182,20.42,0.037,4.276666,-0.740614,0,0,0,0,0,0,0,0
0,0,0,0,7.971,0.032,4.369448,-0.699456,16.057,0.046,4.574711,-0.601439,20.611,0.037,4.26268,-0.7546,0,0,0,0,0,0,0,0
0,0,0,0,10.655,0.033,4.356709,-0.712195,14.637,0.047,4.564348,-0.611802,16.21,0.038,4.248495,-0.768785,0,0,0,0,0,0,0,0
0,0,0,0,10.897,0.033,4.343805,-0.725099,12.549,0.048,4.553877,-0.622273,20.466,0.038,4.234107,-0.783173,0,0,0,0,0,0,0,0
0,0,0,0,10.916,0.033,4.330733,-0.738171,14.067,0.048,4.543295,-0.632855,20.587,0.038,4.219508,-0.797772,0,0,0,0,0,0,0,0
0,0,0,0,11.042,0.033,4.317488,-0.751416,13.035,0.049,4.532599,-0.64355,17.977,0.039,4.204693,-0.812587,0,0,0,0,0,0,0,0
0,0,0,0,10.358,0.034,4.304065,-0.764839,15.473,0.049,4.521789,-0.654361,18.533,0.039,4.189655,-0.827625,0,0,0,0,0,0,0,0
0,0,0,0,9.679,0.035,4.290459,-0.778445,15.392,0.05,4.51086,-0.66529,19.163,0.039,4.174387,-0.842893,0,0,0,0,0,0,0,0
0,0,0,0,11.082,0.036,4.276666,-0.792238,14.873,0.052,4.49981,-0.67634,16.372,0.04,4.158883,-0.858397,0,0,0,0,0,0,0,0
0,0,0,0,9.018,0.039,4.26268,-0.806224,15.283,0.052,4.488636,-0.687513,18.949,0.04,4.143135,-0.874145,0,0,0,0,0,0,0,0
0,0,0,0,11.519,0.04,4.248495,-0.820409,11.933,0.053,4.477337,-0.698813,18.189,0.041,4.127134,-0.890145,0,0,0,0,0,0,0,0
0,0,0,0,9.299,0.041,4.234107,-0.834798,11.993,0.055,4.465908,-0.710242,16.682,0.043,4.110874,-0.906406,0,0,0,0,0,0,0,0
0,0,0,0,10.073,0.041,4.219508,-0.849396,15.13,0.057,4.454347,-0.721802,17.919,0.043,4.094345,-0.922935,0,0,0,0,0,0,0,0
0,0,0,0,7.87,0.043,4.204693,-0.864212,13.092,0.058,4.442651,-0.733498,19.792,0.043,4.077537,-0.939742,0,0,0,0,0,0,0,0
0,0,0,0,11.53,0.043,4.189655,-0.879249,12.032,0.06,4.430817,-0.745333,16.426,0.044,4.060443,-0.956837,0,0,0,0,0,0,0,0
0,0,0,0,10.337,0.047,4.174387,-0.894517,13.931,0.06,4.418841,-0.757309,17.529,0.047,4.043051,-0.974229,0,0,0,0,0,0,0,0
0,0,0,0,7.319,0.05,4.158883,-0.910021,15.998,0.06,4.406719,-0.76943,17.785,0.047,4.025352,-0.991928,0,0,0,0,0,0,0,0
0,0,0,0,10.986,0.051,4.143135,-0.925769,11.844,0.061,4.394449,-0.781701,16.636,0.048,4.007333,-1.009947,0,0,0,0,0,0,0,0
0,0,0,0,10.966,0.052,4.127134,-0.94177,14.657,0.063,4.382027,-0.794123,16.768,0.049,3.988984,-1.028296,0,0,0,0,0,0,0,0
0,0,0,0,8.27,0.053,4.110874,-0.95803,14.068,0.064,4.369448,-0.806702,18.568,0.051,3.970292,-1.046988,0,0,0,0,0,0,0,0
0,0,0,0,10.655,0.053,4.094345,-0.97456,13.893,0.066,4.356709,-0.819441,17.211,0.052,3.951244,-1.066036,0,0,0,0,0,0,0,0
0,0,0,0,8.749,0.059,4.077537,-0.991367,13.143,0.067,4.343805,-0.832344,18.783,0.053,3.931826,-1.085454,0,0,0,0,0,0,0,0
0,0,0,0,10.278,0.06,4.060443,-1.008461,13.39,0.067,4.330733,-0.845416,17.39,0.054,3.912023,-1.105257,0,0,0,0,0,0,0,0
0,0,0,0,11.349,0.06,4.043051,-1.025853,13.562,0.068,4.317488,-0.858662,17.274,0.055,3.89182,-1.12546,0,0,0,0,0,0,0,0
0,0,0,0,9.86,0.065,4.025352,-1.043553,13.638,0.068,4.304065,-0.872085,18.885,0.058,3.871201,-1.146079,0,0,0,0,0,0,0,0
0,0,0,0,10.298,0.065,4.007333,-1.061571,16.013,0.076,4.290459,-0.88569,19.415,0.059,3.850148,-1.167132,0,0,0,0,0,0,0,0
0,0,0,0,11.089,0.067,3.988984,-1.07992,15.945,0.077,4.276666,-0.899484,17.789,0.063,3.828641,-1.188638,0,0,0,0,0,0,0,0
0,0,0,0,11.257,0.067,3.970292,-1.098612,12.148,0.078,4.26268,-0.91347,18.382,0.063,3.806662,-1.210617,0,0,0,0,0,0,0,0
0,0,0,0,10.906,0.068,3.951244,-1.11766,15.189,0.081,4.248495,-0.927654,18.422,0.068,3.78419,-1.23309,0,0,0,0,0,0,0,0
0,0,0,0,9.55,0.07,3.931826,-1.137079,13.261,0.084,4.234107,-0.942043,20.132,0.068,3.7612,-1.25608,0,0,0,0,0,0,0,0
0,0,0,0,11.625,0.07,3.912023,-1.156881,16.044,0.087,4.219508,-0.956642,20.262,0.069,3.73767,-1.27961,0,0,0,0,0,0,0,0
0,0,0,0,8.36,0.073,3.89182,-1.177084,14.76,0.088,4.204693,-0.971457,19.647,0.07,3.713572,-1.303708,0,0,0,0,0,0,0,0
0,0,0,0,11.691,0.074,3.871201,-1.197703,12.181,0.09,4.189655,-0.986495,20.459,0.07,3.688879,-1.3284,0,0,0,0,0,0,0,0
0,0,0,0,9.369,0.077,3.850148,-1.218757,15.204,0.092,4.174387,-1.001762,18.222,0.072,3.663562,-1.353718,0,0,0,0,0,0,0,0
0,0,0,0,8.056,0.078,3.828641,-1.240263,14.04,0.094,4.158883,-1.017267,18.343,0.072,3.637586,-1.379694,0,0,0,0,0,0,0,0
0,0,0,0,10.226,0.085,3.806662,-1.262242,15.46,0.096,4.143135,-1.033015,17.467,0.078,3.610918,-1.406362,0,0,0,0,0,0,0,0
0,0,0,0,11.298,0.092,3.78419,-1.284715,15.77,0.096,4.127134,-1.049015,16.528,0.087,3.583519,-1.433761,0,0,0,0,0,0,0,0
0,0,0,0,10.151,0.094,3.7612,-1.307704,13.041,0.099,4.110874,-1.065276,16.545,0.087,3.555348,-1.461932,0,0,0,0,0,0,0,0
0,0,0,0,11.366,0.095,3.73767,-1.331235,14.903,0.1,4.094345,-1.081805,16.944,0.087,3.526361,-1.490919,0,0,0,0,0,0,0,0
0,0,0,0,7.49,0.098,3.713572,-1.355332,13.06,0.102,4.077537,-1.098612,17.348,0.091,3.496508,-1.520772,0,0,0,0,0,0,0,0
0,0,0,0,9.843,0.1,3.688879,-1.380025,14.594,0.106,4.060443,-1.115707,16.659,0.092,3.465736,-1.551544,0,0,0,0,0,0,0,0
0,0,0,0,10.502,0.101,3.663562,-1.405343,12.296,0.107,4.043051,-1.133098,17.819,0.099,3.433987,-1.583293,0,0,0,0,0,0,0,0
0,0,0,0,8.018,0.104,3.637586,-1.431318,14.402,0.118,4.025352,-1.150798,18.758,0.099,3.401197,-1.616082,0,0,0,0,0,0,0,0
0,0,0,0,10.751,0.108,3.610918,-1.457986,15.206,0.118,4.007333,-1.168817,17.356,0.101,3.367296,-1.649984,0,0,0,0,0,0,0,0
0,0,0,0,10.717,0.111,3.583519,-1.485385,15.728,0.121,3.988984,-1.187166,16.136,0.103,3.332205,-1.685075,0,0,0,0,0,0,0,0
0,0,0,0,10.111,0.112,3.555348,-1.513556,14.461,0.122,3.970292,-1.205858,16.594,0.104,3.295837,-1.721443,0,0,0,0,0,0,0,0
0,0,0,0,10.444,0.121,3.526361,-1.542544,13.276,0.123,3.951244,-1.224906,17.074,0.108,3.258097,-1.759183,0,0,0,0,0,0,0,0
0,0,0,0,7.096,0.124,3.496508,-1.572397,13.334,0.123,3.931826,-1.244324,16.924,0.116,3.218876,-1.798404,0,0,0,0,0,0,0,0
0,0,0,0,8.458,0.128,3.465736,-1.603168,12.038,0.127,3.912023,-1.264127,18.609,0.119,3.178054,-1.839226,0,0,0,0,0,0,0,0
0,0,0,0,11.583,0.132,3.433987,-1.634917,12.783,0.127,3.89182,-1.284329,19.014,0.123,3.135494,-1.881786,0,0,0,0,0,0,0,0
0,0,0,0,9.538,0.14,3.401197,-1.667707,12.867,0.128,3.871201,-1.304949,16.912,0.142,3.091042,-1.926237,0,0,0,0,0,0,0,0
0,0,0,0,10.329,0.141,3.367296,-1.701608,14.087,0.129,3.850148,-1.326002,16.677,0.148,3.044522,-1.972757,0,0,0,0,0,0,0,0
0,0,0,0,9.891,0.144,3.332205,-1.7367,13.955,0.132,3.828641,-1.347508,19.891,0.148,2.995732,-2.021548,0,0,0,0,0,0,0,0
0,0,0,0,11.003,0.147,3.295837,-1.773067,12.667,0.133,3.806662,-1.369487,18.317,0.149,2.944439,-2.072841,0,0,0,0,0,0,0,0
0,0,0,0,11.157,0.147,3.258097,-1.810808,14.693,0.137,3.78419,-1.39196,16.568,0.162,2.890372,-2.126908,0,0,0,0,0,0,0,0
0,0,0,0,10.378,0.151,3.218876,-1.850028,12.105,0.139,3.7612,-1.41495,17.995,0.166,2.833213,-2.184066,0,0,0,0,0,0,0,0
0,0,0,0,9.203,0.159,3.178054,-1.89085,12.575,0.143,3.73767,-1.43848,16.532,0.201,2.772589,-2.244691,0,0,0,0,0,0,0,0
0,0,0,0,7.194,0.16,3.135494,-1.93341,11.915,0.154,3.713572,-1.462578,20.099,0.204,2.70805,-2.30923,0,0,0,0,0,0,0,0
0,0,0,0,8.601,0.162,3.091042,-1.977862,15.988,0.154,3.688879,-1.48727,20.879,0.297,2.639057,-2.378223,0,0,0,0,0,0,0,0
0,0,0,0,11.688,0.163,3.044522,-2.024382,13.455,0.162,3.663562,-1.512588,18.455,0.301,2.564949,-2.45233,0,0,0,0,0,0,0,0
0,0,0,0,9.288,0.169,2.995732,-2.073172,13.941,0.163,3.637586,-1.538564,17.589,0.305,2.484907,-2.532373,0,0,0,0,0,0,0,0
0,0,0,0,8.369,0.171,2.944439,-2.124465,15.009,0.166,3.610918,-1.565232,20.163,0.312,2.397895,-2.619385,0,0,0,0,0,0,0,0
0,0,0,0,9.532,0.173,2.890372,-2.178532,14.514,0.171,3.583519,-1.592631,19.836,0.323,2.302585,-2.714695,0,0,0,0,0,0,0,0
0,0,0,0,11.064,0.18,2.833213,-2.235691,12.184,0.177,3.555348,-1.620802,16.294,0.351,2.197225,-2.820055,0,0,0,0,0,0,0,0
0,0,0,0,7.998,0.215,2.772589,-2.296315,13.025,0.177,3.526361,-1.649789,16.336,0.404,2.079442,-2.937838,0,0,0,0,0,0,0,0
0,0,0,0,8.278,0.236,2.70805,-2.360854,14.043,0.181,3.496508,-1.679642,20.478,0.405,1.94591,-3.07137,0,0,0,0,0,0,0,0
0,0,0,0,7.692,0.265,2.639057,-2.429847,14.179,0.184,3.465736,-1.710414,17.474,0.434,1.791759,-3.22552,0,0,0,0,0,0,0,0
0,0,0,0,9.436,0.266,2.564949,-2.503955,15.877,0.185,3.433987,-1.742163,19.016,0.567,1.609438,-3.407842,0,0,0,0,0,0,0,0
0,0,0,0,11.328,0.336,2.484907,-2.583998,14.509,0.187,3.401197,-1.774952,16.731,0.812,1.386294,-3.630985,0,0,0,0,0,0,0,0
0,0,0,0,9.692,0.372,2.397895,-2.671009,14.88,0.188,3.367296,-1.808854,17.343,2.94,1.098612,-3.918668,0,0,0,0,0,0,0,0
0,0,0,0,7.446,0.409,2.302585,-2.766319,15.823,0.196,3.332205,-1.843945,20.009,3.083,0.693147,-4.324133,0,0,0,0,0,0,0,0
0,0,0,0,8.521,0.465,2.197225,-2.87168,12.846,0.199,3.295837,-1.880313,19,4.654,0,-5.01728,0,0,0,0,0,0,0,0
0,0,0,0,8.794,0.502,2.079442,-2.989463,15.027,0.221,3.258097,-1.918053,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.743,0.554,1.94591,-3.122994,15.499,0.223,3.218876,-1.957274,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.834,0.585,1.791759,-3.277145,12.884,0.225,3.178054,-1.998096,0,0,0,0,0,0,0,0,0,0,0,0
