Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,7.832,2.042,1.386294,-2.545531,13.534,0.072,4.418841,-0.448694,19.738,0.097,3.367296,-0.963438,0,0,0,0,0,0,0,0
0,0,0,0,9.128,3.829,1.098612,-2.833213,13.845,0.076,4.406719,-0.460815,16.362,0.11,3.332205,-0.998529,0,0,0,0,0,0,0,0
0,0,0,0,7.43,4.664,0.693147,-3.238678,14.302,0.076,4.394449,-0.473085,19.176,0.111,3.295837,-1.034896,0,0,0,0,0,0,0,0
0,0,0,0,8.258,6.424,0,-3.931826,11.176,0.077,4.382027,-0.485508,16.968,0.116,3.258097,-1.072637,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.838,0.078,4.369448,-0.498087,20.807,0.117,3.218876,-1.111858,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.177,0.081,4.356709,-0.510826,18.584,0.129,3.178054,-1.15268,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.264,0.082,4.343805,-0.523729,19.627,0.145,3.135494,-1.195239,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.099,0.083,4.330733,-0.536801,17.866,0.15,3.091042,-1.239691,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.684,0.086,4.317488,-0.550046,15.78,0.165,3.044522,-1.286211,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.061,0.087,4.304065,-0.563469,17.881,0.172,2.995732,-1.335001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.971,0.087,4.290459,-0.577075,19.695,0.174,2.944439,-1.386294,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.52,0.095,4.276666,-0.590868,15.876,0.185,2.890372,-1.440362,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.359,0.096,4.26268,-0.604855,17.06,0.191,2.833213,-1.49752,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.657,0.103,4.248495,-0.619039,17.134,0.197,2.772589,-1.558145,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.917,0.113,4.234107,-0.633428,15.811,0.248,2.70805,-1.622683,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.307,0.125,4.219508,-0.648027,20.309,0.251,2.639057,-1.691676,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10.933,0.126,4.204693,-0.662842,17.778,0.302,2.564949,-1.765784,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.446,0.129,4.189655,-0.67788,21.195,0.327,2.484907,-1.845827,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.68,0.139,4.174387,-0.693147,15.807,0.394,2.397895,-1.932838,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.85,0.146,4.158883,-0.708651,20.461,0.401,2.302585,-2.028148,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.415,0.152,4.143135,-0.7244,17.799,0.536,2.197225,-2.133509,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.524,0.153,4.127134,-0.7404,16.165,0.596,2.079442,-2.251292,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.756,0.157,4.110874,-0.756661,17.015,0.734,1.94591,-2.384823,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.713,0.168,4.094345,-0.77319,15.822,0.777,1.791759,-2.538974,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.504,0.176,4.077537,-0.789997,16.896,0.892,1.609438,-2.721295,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.193,0.188,4.060443,-0.807091,16.445,2.177,1.386294,-2.944439,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.684,0.189,4.043051,-0.824483,19.679,2.505,1.098612,-3.232121,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.295,0.191,4.025352,-0.842183,19.871,7.225,0.693147,-3.637586,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.186,0.202,4.007333,-0.860201,16.8,7.763,0,-4.330733,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13.982,0.208,3.988984,-0.87855,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12.373,0.209,3.970292,-0.897243,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.936,0.228,3.951244,-0.916291,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.383,0.233,3.931826,-0.935709,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11.985,0.24,3.912023,-0.955511,0,0,0,0,0,0,0,0,0,0,0,0
