Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp
0,0,0,0,6.276,0.273,3.610918,-0.888892,15.308,0.089,4.418841,-0.493814,20.516,0.042,4.615121,-0.421832,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.88,0.28,3.583519,-0.916291,14.275,0.092,4.406719,-0.505936,19.497,0.047,4.60517,-0.431782,0,0,0,0,0,0,0,0,,,
0,0,0,0,5.523,0.283,3.555348,-0.944462,11.142,0.094,4.394449,-0.518206,19.767,0.047,4.59512,-0.441833,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.906,0.32,3.526361,-0.973449,12.737,0.096,4.382027,-0.530628,21.163,0.047,4.584967,-0.451985,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.866,0.324,3.496508,-1.003302,14.617,0.096,4.369448,-0.543207,17.97,0.048,4.574711,-0.462242,0,0,0,0,0,0,0,0,,,
0,0,0,0,8.344,0.327,3.465736,-1.034074,13.59,0.098,4.356709,-0.555946,20.056,0.048,4.564348,-0.472604,0,0,0,0,0,0,0,0,,,
0,0,0,0,5.122,0.338,3.433987,-1.065822,14.386,0.099,4.343805,-0.568849,15.766,0.049,4.553877,-0.483076,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.9,0.338,3.401197,-1.098612,11.663,0.103,4.330733,-0.581922,16.353,0.049,4.543295,-0.493658,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.247,0.341,3.367296,-1.132514,14.783,0.104,4.317488,-0.595167,19.899,0.049,4.532599,-0.504353,0,0,0,0,0,0,0,0,,,
0,0,0,0,6.488,0.351,3.332205,-1.167605,12.774,0.112,4.304065,-0.60859,21.121,0.049,4.521789,-0.515164,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.07,0.428,3.295837,-1.203973,14.739,0.116,4.290459,-0.622195,20.629,0.05,4.51086,-0.526093,0,0,0,0,0,0,0,0,,,
0,0,0,0,7.77,0.494,3.258097,-1.241713,12.59,0.126,4.276666,-0.635989,20.219,0.051,4.49981,-0.537143,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.441,0.619,3.218876,-1.280934,14.694,0.141,4.26268,-0.649975,17.757,0.054,4.488636,-0.548316,0,0,0,0,0,0,0,0,,,
0,0,0,0,9.2,0.663,3.178054,-1.321756,13.263,0.147,4.248495,-0.66416,16.662,0.056,4.477337,-0.559616,0,0,0,0,0,0,0,0,,,
